доля ошибок для обучения в % : 0.22666666666666668
доля ошибок для test в %: 0.5333333333333333

по итогам анализа использую модель : RandomForestRegressor( n_estimators=50, random_state=1) # случайный лес
гипер-параметры настроены без особого упорства, главное был выбор схемы обработки результатов регрессора в классификатор, обработка входов - полиномизация (2 порядок), как результат анализа нескольких моделей предобработки 
             A            B                     C                 target_rez                my_rez
 A:-917.2867595803668  B:-298.29228920395326  C:513.9219721224725  y_true:гипер.  y_pred:гипер.
 A:-120.81260497000534  B:289.073389253915  C:830.3670382927102  y_true:гипер.  y_pred:гипер.
 A:515.4496729133291  B:-847.6767981309479  C:-744.8197225074373  y_true:гипер.  y_pred:гипер.
 A:-593.8718754674328  B:-640.0680217085819  C:-884.5158694735728  y_true:эллипс  y_pred:эллипс
 A:524.4868727015926  B:416.71439590696946  C:-285.4442352279361  y_true:гипер.  y_pred:гипер.
 A:356.1209399665715  B:741.007858269904  C:429.8840969115727  y_true:гипер.  y_pred:гипер.
 A:-148.34996469762675  B:711.6412422219458  C:-131.75577269228444  y_true:гипер.  y_pred:гипер.
 A:-216.47254586979247  B:-151.79313580785325  C:-642.8945821042485  y_true:эллипс  y_pred:эллипс
 A:-921.8824440637466  B:-287.6772921215294  C:-539.1429502828112  y_true:эллипс  y_pred:эллипс
 A:-522.8190313833398  B:-909.2218643322647  C:-345.4841703802465  y_true:гипер.  y_pred:гипер.
 A:-695.161123102753  B:696.0009177096593  C:-965.6953848046887  y_true:эллипс  y_pred:эллипс
 A:-454.94588220718634  B:-361.57806507720693  C:-265.9164685572881  y_true:гипер.  y_pred:гипер.
 A:-404.91553592194805  B:799.5457329669659  C:-570.1037535995066  y_true:гипер.  y_pred:гипер.
 A:-429.42630947753923  B:969.6656251283641  C:-403.75203758799637  y_true:гипер.  y_pred:гипер.
 A:-507.4960768174175  B:-101.38143169426206  C:180.76935837227802  y_true:гипер.  y_pred:гипер.
 A:641.8000234540573  B:-451.404747421045  C:326.09583722671044  y_true:эллипс  y_pred:параб.
 A:-97.714118377209  B:-147.58247433011752  C:-537.7974602609517  y_true:эллипс  y_pred:эллипс
 A:-996.593752480528  B:-718.0074448906657  C:136.22382986078318  y_true:гипер.  y_pred:гипер.
 A:890.7550644123475  B:15.548786416785587  C:-890.4768918408688  y_true:гипер.  y_pred:гипер.
 A:-125.68524587354312  B:-702.5785170314866  C:-515.8445613190386  y_true:гипер.  y_pred:гипер.
 A:-179.51447255694265  B:-833.0216942410593  C:-738.224141189244  y_true:гипер.  y_pred:гипер.
 A:947.6305778872294  B:-936.423227606785  C:949.5012350423214  y_true:эллипс  y_pred:гипер.
 A:-138.39217706534978  B:-222.56081172640953  C:-943.1667772976804  y_true:эллипс  y_pred:эллипс
 A:471.7191534677703  B:902.9315684662282  C:-597.2820096640037  y_true:гипер.  y_pred:гипер.
 A:-633.5456759718978  B:-93.7471990963128  C:955.9023772240081  y_true:гипер.  y_pred:гипер.
 A:-974.5366262011794  B:675.1189875267789  C:26.693776699452165  y_true:гипер.  y_pred:гипер.
 A:585.8463987997569  B:-167.46243930191505  C:780.8056247955875  y_true:эллипс  y_pred:эллипс
 A:583.2787831853248  B:-677.8068711978744  C:-100.14026765086781  y_true:гипер.  y_pred:гипер.
 A:-385.700186980241  B:-391.9388790951839  C:-599.1910629499641  y_true:эллипс  y_pred:эллипс
 A:-425.6267307943824  B:-94.85891231137833  C:-301.4440726737662  y_true:эллипс  y_pred:эллипс
 A:-397.9368101337781  B:297.01125187066845  C:-861.0347215271559  y_true:эллипс  y_pred:эллипс
 A:-704.0863419804366  B:658.1161071411725  C:-867.7420048531764  y_true:эллипс  y_pred:эллипс
 A:-663.723994315805  B:790.0710777366149  C:-888.1819802075444  y_true:гипер.  y_pred:гипер.
 A:-151.89557067956594  B:-324.2412993798682  C:-521.3513372108149  y_true:гипер.  y_pred:гипер.
 A:900.3675772950335  B:919.0591295616317  C:596.2740565023596  y_true:гипер.  y_pred:гипер.
 A:190.52030313140867  B:368.3316117335116  C:-356.07228279535394  y_true:гипер.  y_pred:гипер.
 A:-975.1260201383587  B:-382.08173774580433  C:799.3944226162138  y_true:гипер.  y_pred:гипер.
 A:-643.067304260686  B:-541.4466356854666  C:-152.42079689761235  y_true:гипер.  y_pred:гипер.
 A:427.57482118906245  B:778.7042556584316  C:175.34476426983113  y_true:гипер.  y_pred:гипер.
 A:817.8706018706952  B:368.98702805404747  C:346.1828015470529  y_true:эллипс  y_pred:эллипс
 A:-946.8065931066534  B:-374.0765358328924  C:-482.3305892576453  y_true:эллипс  y_pred:эллипс
 A:-152.61509203967782  B:-845.1722333961271  C:812.1477612160794  y_true:гипер.  y_pred:гипер.
 A:-935.0441202193209  B:-121.5986162105962  C:-19.885504441485846  y_true:эллипс  y_pred:эллипс
 A:606.6005722316556  B:-414.35144326625027  C:-877.2280879419518  y_true:гипер.  y_pred:гипер.
 A:427.09736481089664  B:-401.98710048376296  C:-689.5581236376138  y_true:гипер.  y_pred:гипер.
 A:177.62476530667027  B:-259.10524455026484  C:-192.61390473656158  y_true:гипер.  y_pred:гипер.
 A:352.3022813995371  B:-69.59295827240331  C:-44.1458466426754  y_true:гипер.  y_pred:гипер.
 A:-636.1884771198274  B:-167.8015094366847  C:-720.5482819985314  y_true:эллипс  y_pred:эллипс
 A:594.1935445367594  B:-857.50448158842  C:-181.51770980118954  y_true:гипер.  y_pred:гипер.
 A:409.3920032549081  B:-285.5847822620059  C:-251.04431672519124  y_true:гипер.  y_pred:гипер.
 A:-582.6734134223524  B:725.4535409577098  C:-527.9419631481552  y_true:гипер.  y_pred:гипер.
 A:969.4132679127397  B:555.8324094564198  C:336.96208227576375  y_true:эллипс  y_pred:гипер.
 A:777.0375985582903  B:-554.9026155985812  C:770.0185369889188  y_true:эллипс  y_pred:эллипс
 A:103.14266583310005  B:190.76946237705505  C:-258.6460915986735  y_true:гипер.  y_pred:гипер.
 A:708.179084195171  B:-844.6605242011218  C:363.6375239697358  y_true:гипер.  y_pred:гипер.
 A:942.2001397986563  B:19.456590765212667  C:807.4116170047043  y_true:эллипс  y_pred:эллипс
 A:125.90796760574419  B:-24.22289565733071  C:-837.1868397363918  y_true:гипер.  y_pred:гипер.
 A:309.2418316722443  B:-900.4204935131437  C:545.0731704841238  y_true:гипер.  y_pred:гипер.
 A:621.0481135501611  B:-512.0887691610909  C:-594.5400849534955  y_true:гипер.  y_pred:гипер.
 A:282.212420210052  B:648.117284463303  C:-408.06705553672987  y_true:гипер.  y_pred:гипер.
 A:-793.2057642899317  B:106.72009967666173  C:522.2509916009969  y_true:гипер.  y_pred:гипер.
 A:557.3427550041088  B:36.96375829153609  C:-477.86850694905957  y_true:гипер.  y_pred:гипер.
 A:313.8930795025814  B:286.333756312944  C:233.82676031814498  y_true:гипер.  y_pred:гипер.
 A:-375.57495784321213  B:629.8796889688598  C:771.8075568073674  y_true:гипер.  y_pred:гипер.
 A:-991.3679932359953  B:-190.07701920068976  C:738.378894895701  y_true:гипер.  y_pred:гипер.
 A:278.749366661752  B:412.1735444602619  C:-855.9821573217488  y_true:гипер.  y_pred:гипер.
 A:-100.254755385625  B:-148.0591100456581  C:948.2290580124318  y_true:гипер.  y_pred:гипер.
 A:-752.1801948198139  B:-632.2031921609884  C:651.4379032495567  y_true:гипер.  y_pred:гипер.
 A:-367.86418537837307  B:-286.9060771199787  C:-514.4495593411995  y_true:эллипс  y_pred:эллипс
 A:-90.05475893100589  B:-348.95466323910387  C:501.27764221454817  y_true:гипер.  y_pred:гипер.
 A:383.22805854455066  B:-689.8146457229692  C:-251.26362957141768  y_true:гипер.  y_pred:гипер.
 A:-99.88820691647527  B:-320.7977079513713  C:25.76717372653503  y_true:гипер.  y_pred:гипер.
 A:225.49149552443004  B:-483.37080512219234  C:852.434669222782  y_true:гипер.  y_pred:гипер.
 A:989.3416907235388  B:355.51392199851796  C:272.2541831575296  y_true:эллипс  y_pred:эллипс
 A:-967.1856444605069  B:-636.6558079621592  C:127.37948408656675  y_true:гипер.  y_pred:гипер.
 A:870.7454432877045  B:88.78928127762565  C:-615.8755287436519  y_true:гипер.  y_pred:гипер.
 A:135.88181112245024  B:370.2488107643158  C:772.9313380610006  y_true:гипер.  y_pred:гипер.
 A:-689.0067102798241  B:-889.788405245521  C:-639.5907567592059  y_true:гипер.  y_pred:гипер.
 A:-527.9595252066134  B:586.568497114586  C:-38.32696911721767  y_true:гипер.  y_pred:гипер.
 A:974.7775514193695  B:-18.964932181192218  C:-137.14469947541176  y_true:гипер.  y_pred:гипер.
 A:970.6772432566413  B:-609.5531313286988  C:-345.97010169929064  y_true:гипер.  y_pred:гипер.
 A:-481.7663422514875  B:-267.10940928168924  C:-353.5431292848052  y_true:эллипс  y_pred:эллипс
 A:925.4590289894644  B:557.5637092123404  C:899.8697080781635  y_true:эллипс  y_pred:эллипс
 A:417.70040584378074  B:727.0910745097674  C:-689.3840075859404  y_true:гипер.  y_pred:гипер.
 A:201.41712542248234  B:-833.8943238162216  C:351.8397444542689  y_true:гипер.  y_pred:гипер.
 A:32.4709970563366  B:-760.7879257268011  C:37.9521570757706  y_true:гипер.  y_pred:гипер.
 A:-466.61291552728557  B:-845.3854902083859  C:-708.2973324023783  y_true:гипер.  y_pred:гипер.
 A:137.01932179406984  B:3.970429300576006  C:511.99291345693143  y_true:эллипс  y_pred:эллипс
 A:-628.860480235075  B:-845.714856039204  C:187.58362585692544  y_true:гипер.  y_pred:гипер.
 A:583.0840084261397  B:538.1949556910008  C:-633.2925591828971  y_true:гипер.  y_pred:гипер.
 A:279.9008710211952  B:87.45749918793622  C:436.8084828604029  y_true:эллипс  y_pred:эллипс
 A:-198.14831598085016  B:-230.78521567974585  C:-489.86280619505095  y_true:эллипс  y_pred:эллипс
 A:267.9479202426867  B:116.48078667164019  C:254.01313398086822  y_true:эллипс  y_pred:эллипс
 A:49.38438897123487  B:-797.674821356172  C:598.7299676444183  y_true:гипер.  y_pred:гипер.
 A:759.8855668458438  B:965.1085875861212  C:-992.4460492186915  y_true:гипер.  y_pred:гипер.
 A:-982.1468118040342  B:168.83617147253793  C:-132.68802772063592  y_true:эллипс  y_pred:эллипс
 A:161.91049217872177  B:-833.6971204570099  C:-743.7195730183169  y_true:гипер.  y_pred:гипер.
 A:847.2691789819963  B:863.2551740519243  C:260.0217653434784  y_true:гипер.  y_pred:гипер.
 A:349.6599514671621  B:-869.5865394764868  C:-538.732857980417  y_true:гипер.  y_pred:гипер.
 A:-113.14164977626007  B:494.70743217210145  C:-806.0251308505631  y_true:гипер.  y_pred:гипер.
 A:908.2014066465794  B:610.8851595109834  C:-184.75620922022617  y_true:гипер.  y_pred:гипер.
 A:-233.56787673269474  B:965.0936658567562  C:-514.1008765293556  y_true:гипер.  y_pred:гипер.
 A:-225.67580443085222  B:-26.781365604336305  C:619.5049256379543  y_true:гипер.  y_pred:гипер.
 A:69.81790812637234  B:846.1023026009165  C:-76.99712461004115  y_true:гипер.  y_pred:гипер.
 A:111.46407185158091  B:733.1354244676776  C:155.21280304052732  y_true:гипер.  y_pred:гипер.
 A:-825.169803618334  B:-563.8435114180029  C:-253.7436808441431  y_true:гипер.  y_pred:гипер.
 A:285.7648584000827  B:157.1294808883874  C:-810.871110762817  y_true:гипер.  y_pred:гипер.
 A:471.26425318108954  B:-237.72002100847624  C:873.3820471246896  y_true:эллипс  y_pred:эллипс
 A:-867.8341708279087  B:-99.71721428472424  C:-621.5078560917304  y_true:эллипс  y_pred:эллипс
 A:-142.08705796473842  B:-146.39280233462992  C:90.04518197021638  y_true:гипер.  y_pred:гипер.
 A:-62.488163581958304  B:-503.89495690766404  C:140.16331898424238  y_true:гипер.  y_pred:гипер.
 A:172.3817346746921  B:-872.0255423402325  C:667.2401058326716  y_true:гипер.  y_pred:гипер.
 A:432.133588663643  B:-914.9453338700617  C:953.1767375287925  y_true:гипер.  y_pred:гипер.
 A:-831.2382276623975  B:-424.7757488038819  C:800.3054205924387  y_true:гипер.  y_pred:гипер.
 A:-206.4821550748137  B:-239.2886218800647  C:704.0157506930241  y_true:гипер.  y_pred:гипер.
 A:184.26678813622365  B:-482.6019332834606  C:905.8763905507902  y_true:гипер.  y_pred:гипер.
 A:-101.35979747604318  B:332.5828697167133  C:-429.6093626483788  y_true:гипер.  y_pred:гипер.
 A:-539.8419059695783  B:-62.10128366894785  C:377.04560575443315  y_true:гипер.  y_pred:гипер.
 A:-733.9342024917568  B:590.6878170856285  C:-626.886318356408  y_true:эллипс  y_pred:эллипс
 A:556.1586738668301  B:923.7888308325471  C:-226.28704967234614  y_true:гипер.  y_pred:гипер.
 A:-436.1500828371099  B:-125.8879388060643  C:-914.2214158892876  y_true:эллипс  y_pred:эллипс
 A:-205.08324868079143  B:931.3507176590472  C:-462.14704514289264  y_true:гипер.  y_pred:гипер.
 A:233.46628122996304  B:-10.683030250474568  C:150.1715830050314  y_true:эллипс  y_pred:эллипс
 A:-736.7809726988472  B:-460.61997413802703  C:467.3148340897046  y_true:гипер.  y_pred:гипер.
 A:-465.1756300498946  B:988.6056699410424  C:-352.312886093219  y_true:гипер.  y_pred:гипер.
 A:693.0754964685708  B:717.8927154261947  C:-449.9357528349353  y_true:гипер.  y_pred:гипер.
 A:-4.414359011177149  B:-379.7362718193258  C:-397.9583846309942  y_true:гипер.  y_pred:гипер.
 A:833.8429647944379  B:-758.7701467057477  C:-973.94534606401  y_true:гипер.  y_pred:гипер.
 A:-310.02876145791447  B:-452.5852268907702  C:-741.3765270234746  y_true:эллипс  y_pred:эллипс
 A:-511.29579702228756  B:-962.9748013376296  C:-195.26793527348184  y_true:гипер.  y_pred:гипер.
 A:76.62987624555662  B:799.696568589088  C:-238.0708490329564  y_true:гипер.  y_pred:гипер.
 A:284.40525050715127  B:451.36365306615136  C:-394.23144763551045  y_true:гипер.  y_pred:гипер.
 A:6.985274115383744  B:-636.0752096177447  C:331.02246839833407  y_true:гипер.  y_pred:гипер.
 A:-591.1271730996774  B:937.9739491897238  C:314.61922061703063  y_true:гипер.  y_pred:гипер.
 A:-990.4259928734787  B:-539.2825055440629  C:-838.1375174982381  y_true:эллипс  y_pred:эллипс
 A:331.3750678594702  B:-100.77206640076209  C:52.59937913054902  y_true:эллипс  y_pred:эллипс
 A:915.5386859061621  B:-366.8736304305511  C:175.39873937702  y_true:эллипс  y_pred:эллипс
 A:-545.0964235402748  B:-775.7000783778292  C:-351.38143184729984  y_true:гипер.  y_pred:гипер.
 A:861.6037404661358  B:435.57607497715264  C:726.4978762161783  y_true:эллипс  y_pred:эллипс
 A:552.7276478115722  B:-803.5855595133836  C:-625.8495973655547  y_true:гипер.  y_pred:гипер.
 A:-667.2341156795978  B:-398.66578795777065  C:-628.3761619698615  y_true:эллипс  y_pred:эллипс
 A:802.4645365719474  B:259.50543779993865  C:-341.49060467077464  y_true:гипер.  y_pred:гипер.
 A:-334.6084775707301  B:-802.1591910076818  C:-623.8610302576388  y_true:гипер.  y_pred:гипер.
 A:926.1906333357038  B:603.628136094462  C:-639.7861489415275  y_true:гипер.  y_pred:гипер.
 A:-713.9348760026545  B:862.1669432863471  C:343.35153565026854  y_true:гипер.  y_pred:гипер.
 A:-723.4336483187567  B:276.33847319611095  C:161.19997522506614  y_true:гипер.  y_pred:гипер.
 A:-842.5032402467181  B:-720.8085748948116  C:593.506595354429  y_true:гипер.  y_pred:гипер.
 A:-775.404530753945  B:66.23581468555994  C:-29.8081249394202  y_true:эллипс  y_pred:эллипс
 A:511.8683360839367  B:-680.992329032673  C:0.6522599737579515  y_true:гипер.  y_pred:гипер.
 A:14.212450026109158  B:-357.9398881601976  C:-437.4995568666233  y_true:гипер.  y_pred:гипер.
 A:-398.3674877327077  B:661.8533007061344  C:-418.48338592061765  y_true:гипер.  y_pred:гипер.
 A:-109.76467913185562  B:299.9567776757983  C:-24.555188078496435  y_true:гипер.  y_pred:гипер.
 A:-531.2602863027687  B:-561.1399690561171  C:330.650619689018  y_true:гипер.  y_pred:гипер.
 A:547.2482421206901  B:186.36492378964454  C:164.63083528065803  y_true:эллипс  y_pred:эллипс
 A:-326.26732976629967  B:731.0833033146687  C:887.7810185309671  y_true:гипер.  y_pred:гипер.
 A:211.32744731556065  B:138.86595771350295  C:-972.8401570148792  y_true:гипер.  y_pred:гипер.
 A:-408.44123504379917  B:-793.3905284072547  C:-660.4904106730412  y_true:гипер.  y_pred:гипер.
 A:-499.99821073451335  B:824.4798152858093  C:-688.1437461550137  y_true:гипер.  y_pred:гипер.
 A:934.0029787925686  B:770.8264846049544  C:-295.35094834667143  y_true:гипер.  y_pred:гипер.
 A:6.861823650490928  B:-76.18836255819184  C:-454.5383170927546  y_true:гипер.  y_pred:гипер.
 A:870.2908520158721  B:-432.65262384587834  C:8.42519280466969  y_true:гипер.  y_pred:гипер.
 A:-422.0095397688282  B:-556.6413114090003  C:-462.6793879225855  y_true:гипер.  y_pred:гипер.
 A:-163.86162629720147  B:-24.90886001589776  C:-99.28574472276952  y_true:эллипс  y_pred:эллипс
 A:-290.71074733390077  B:-207.35583683408177  C:-422.3916079315506  y_true:эллипс  y_pred:эллипс
 A:-708.2975327796961  B:-366.0445998439137  C:516.360913843023  y_true:гипер.  y_pred:гипер.
 A:-580.4953420346033  B:-287.87791544036924  C:142.92138013690715  y_true:гипер.  y_pred:гипер.
 A:603.2361419680088  B:-737.4507192792679  C:-747.0080012887717  y_true:гипер.  y_pred:гипер.
 A:-266.28630978493703  B:508.3125681934484  C:165.65763187885895  y_true:гипер.  y_pred:гипер.
 A:671.4892372285664  B:-216.46294218151806  C:392.22026608033025  y_true:эллипс  y_pred:эллипс
 A:-230.58486101267394  B:-531.8300362350723  C:-817.6328496103109  y_true:гипер.  y_pred:гипер.
 A:-203.57515022047278  B:886.6920027614327  C:-542.3750151464233  y_true:гипер.  y_pred:гипер.
 A:-682.9953965635143  B:-900.431524285761  C:-954.8233397071897  y_true:гипер.  y_pred:гипер.
 A:-535.4122553783127  B:-105.66860724313676  C:-349.7635438266078  y_true:эллипс  y_pred:эллипс
 A:718.3065036280336  B:806.7191531979228  C:-697.6277580133326  y_true:гипер.  y_pred:гипер.
 A:515.5852563264787  B:17.112693365825436  C:915.171770995342  y_true:эллипс  y_pred:эллипс
 A:441.3847016864971  B:-475.72179258436086  C:-807.8497950083756  y_true:гипер.  y_pred:гипер.
 A:553.0134574321008  B:-517.3538214265072  C:996.3673432222178  y_true:эллипс  y_pred:эллипс
 A:203.51394017735913  B:-994.3800054408782  C:382.1197632337512  y_true:гипер.  y_pred:гипер.
 A:-124.2975729718363  B:655.6668086945078  C:-662.9463648683216  y_true:гипер.  y_pred:гипер.
 A:622.3463574122281  B:-706.6685680023863  C:-712.4989865186235  y_true:гипер.  y_pred:гипер.
 A:990.6225020741867  B:-101.54482102729867  C:-563.4588544614043  y_true:гипер.  y_pred:гипер.
 A:200.17779425166827  B:805.6078789903461  C:-960.7049794457016  y_true:гипер.  y_pred:гипер.
 A:170.95628290901055  B:-830.896876151443  C:-819.2063944863801  y_true:гипер.  y_pred:гипер.
 A:-271.906410847099  B:930.9680700542344  C:604.0812781284857  y_true:гипер.  y_pred:гипер.
 A:232.9438423308232  B:-340.26664635925164  C:-787.0651970066202  y_true:гипер.  y_pred:гипер.
 A:950.3403091760463  B:-233.01598542937097  C:-739.2001687236562  y_true:гипер.  y_pred:гипер.
 A:-328.67740753315576  B:-739.1185006213192  C:296.6038022142006  y_true:гипер.  y_pred:гипер.
 A:-91.28513250013559  B:-969.9858627289186  C:-767.2472485046064  y_true:гипер.  y_pred:гипер.
 A:984.3867970330738  B:-48.841438615069734  C:148.80722646935916  y_true:эллипс  y_pred:эллипс
 A:-340.01691398380007  B:-872.9947398984285  C:-656.65925607014  y_true:гипер.  y_pred:гипер.
 A:773.5613761676043  B:57.96090994145398  C:-810.9766622868544  y_true:гипер.  y_pred:гипер.
 A:-119.19358628506527  B:856.6381658946062  C:705.4990701959775  y_true:гипер.  y_pred:гипер.
 A:-161.88088797401767  B:622.6315490180441  C:-864.6373469385777  y_true:гипер.  y_pred:гипер.
 A:-861.7950700920662  B:557.3047998826717  C:543.457465054845  y_true:гипер.  y_pred:гипер.
 A:977.7426130469597  B:-331.2013762189077  C:223.96879885639498  y_true:эллипс  y_pred:эллипс
 A:937.197957435016  B:-131.15110330248103  C:470.4877385445918  y_true:эллипс  y_pred:эллипс
 A:-638.7776646623112  B:293.8679144956071  C:363.8760831466825  y_true:гипер.  y_pred:гипер.
 A:-944.525161489183  B:127.39956982584233  C:610.4203512762292  y_true:гипер.  y_pred:гипер.
 A:-28.891330236539893  B:5.10722853333867  C:-299.35738236907963  y_true:эллипс  y_pred:эллипс
 A:-689.8282725897773  B:254.47234831346722  C:143.96601743561277  y_true:гипер.  y_pred:гипер.
 A:52.51392565634694  B:-906.3437188005104  C:-801.7401343718715  y_true:гипер.  y_pred:гипер.
 A:-256.14873885163746  B:309.26192186238643  C:-142.87181998751163  y_true:гипер.  y_pred:гипер.
 A:-454.58769682353295  B:413.33696550284736  C:488.4724077436389  y_true:гипер.  y_pred:гипер.
 A:162.75417140583892  B:852.4864784229187  C:-240.16996189969709  y_true:гипер.  y_pred:гипер.
 A:-471.8878627513388  B:-430.9589795447666  C:-781.1602620992455  y_true:эллипс  y_pred:эллипс
 A:386.01823395117174  B:-267.1973154837253  C:-171.01220753965296  y_true:гипер.  y_pred:гипер.
 A:833.9627916993717  B:-856.4568954242673  C:142.39504476411201  y_true:гипер.  y_pred:гипер.
 A:-135.9399278201463  B:597.5416613947568  C:117.88650073811668  y_true:гипер.  y_pred:гипер.
 A:218.26253863167034  B:709.752676749353  C:273.5224837558252  y_true:гипер.  y_pred:гипер.
 A:368.7595147895348  B:-119.8623595803605  C:-256.67721341084257  y_true:гипер.  y_pred:гипер.
 A:957.5237153125818  B:-927.7772198123455  C:-599.5764587113031  y_true:гипер.  y_pred:гипер.
 A:-951.9681859424231  B:882.7247417336038  C:785.0738704424675  y_true:гипер.  y_pred:гипер.
 A:109.76567624447031  B:605.7376399904273  C:-33.20170770952613  y_true:гипер.  y_pred:гипер.
 A:-394.94962912037954  B:-565.8146144186409  C:374.5875874459903  y_true:гипер.  y_pred:гипер.
 A:-997.901776973272  B:-340.19056579228015  C:991.889479946561  y_true:гипер.  y_pred:гипер.
 A:186.74981643153689  B:484.31985244370355  C:-718.6835566633025  y_true:гипер.  y_pred:гипер.
 A:622.7105128428734  B:24.176679854315708  C:-749.5617417288566  y_true:гипер.  y_pred:гипер.
 A:-681.602693220454  B:-697.2027037776697  C:-575.2516086970745  y_true:гипер.  y_pred:гипер.
 A:-371.8796640060809  B:661.3518962415121  C:501.3239364366808  y_true:гипер.  y_pred:гипер.
 A:-82.09568439058246  B:-218.44083315134432  C:391.28933913690724  y_true:гипер.  y_pred:гипер.
 A:-574.2507869243311  B:707.4436384620728  C:-115.12884289019576  y_true:гипер.  y_pred:гипер.
 A:-273.65368806378297  B:-427.96429932797355  C:-802.6322394513514  y_true:эллипс  y_pred:эллипс
 A:-885.0662116162769  B:-979.027607999754  C:-61.625640529661794  y_true:гипер.  y_pred:гипер.
 A:-889.6833375982658  B:-160.23171914382428  C:-814.6273899607106  y_true:эллипс  y_pred:эллипс
 A:4.548127983353911  B:-955.7363922246274  C:-544.7263361029591  y_true:гипер.  y_pred:гипер.
 A:-940.6270617416156  B:-590.1442011756759  C:923.2765612228533  y_true:гипер.  y_pred:гипер.
 A:316.48651376077174  B:985.7929975950508  C:-480.1622572334465  y_true:гипер.  y_pred:гипер.
 A:-535.8446157780925  B:102.91158476252393  C:-208.15150872944298  y_true:эллипс  y_pred:эллипс
 A:112.68675870064237  B:-650.3416781360482  C:-666.9235779916019  y_true:гипер.  y_pred:гипер.
 A:-562.2504024396726  B:-729.2348710385456  C:-476.46774175564224  y_true:гипер.  y_pred:гипер.
 A:375.6089732407686  B:191.93648605108217  C:-520.6856180458284  y_true:гипер.  y_pred:гипер.
 A:765.5738888449304  B:-53.765219829066794  C:392.2619884802123  y_true:эллипс  y_pred:эллипс
 A:-554.5909148711568  B:322.7527201649225  C:-706.9458024163331  y_true:эллипс  y_pred:эллипс
 A:-966.9827484704434  B:-867.9961586052538  C:620.938602583132  y_true:гипер.  y_pred:гипер.
 A:55.208321606103894  B:-121.10409764268849  C:-638.9686682841924  y_true:гипер.  y_pred:гипер.
 A:570.8752488004516  B:-66.99173449421903  C:-158.03964308250306  y_true:гипер.  y_pred:гипер.
 A:-993.1136269079424  B:564.2077190399089  C:334.72311360297334  y_true:гипер.  y_pred:гипер.
 A:456.3501056434263  B:-940.2869617868741  C:-421.467485459688  y_true:гипер.  y_pred:гипер.
 A:-240.9866146916231  B:123.85122537577887  C:719.5453618199043  y_true:гипер.  y_pred:гипер.
 A:-202.49164554188326  B:762.5376710494547  C:289.44248596057906  y_true:гипер.  y_pred:гипер.
 A:411.09081903485543  B:109.567499272752  C:-527.6346462329204  y_true:гипер.  y_pred:гипер.
 A:886.2435160205828  B:-215.00919879051185  C:-649.9184169340824  y_true:гипер.  y_pred:гипер.
 A:963.4074112410258  B:-390.77168960854823  C:446.54267579813967  y_true:эллипс  y_pred:эллипс
 A:-118.9624542232981  B:330.36318085685656  C:475.02973321719935  y_true:гипер.  y_pred:гипер.
 A:-978.2783329291531  B:-182.78893047498545  C:981.9395631724508  y_true:гипер.  y_pred:гипер.
 A:-967.7166539771002  B:-91.4226314957458  C:659.2679067979415  y_true:гипер.  y_pred:гипер.
 A:-176.97672873821446  B:-518.6059788031197  C:-888.5733625041419  y_true:гипер.  y_pred:гипер.
 A:-626.6980682551815  B:-745.1712414344631  C:686.0322371757608  y_true:гипер.  y_pred:гипер.
 A:-573.6318469806309  B:-330.5351967053749  C:224.9357803371854  y_true:гипер.  y_pred:гипер.
 A:-468.6974584540664  B:152.8026144448349  C:22.313447746208137  y_true:гипер.  y_pred:гипер.
 A:-957.6172892809218  B:84.40558031750611  C:80.95705084735583  y_true:гипер.  y_pred:гипер.
 A:344.85700742236116  B:869.0327095623865  C:192.78415122874915  y_true:гипер.  y_pred:гипер.
 A:-548.5646788706144  B:-226.4406444401208  C:732.4366809549642  y_true:гипер.  y_pred:гипер.
 A:977.7667161783246  B:415.57370584189647  C:910.6030202082835  y_true:эллипс  y_pred:эллипс
 A:-23.173112065881796  B:-666.3040730707468  C:-328.6293424360214  y_true:гипер.  y_pred:гипер.
 A:-164.6362093525413  B:132.55001401786924  C:495.5248865982218  y_true:гипер.  y_pred:гипер.
 A:-94.3362625598041  B:506.68213471904824  C:-320.3309331771094  y_true:гипер.  y_pred:гипер.
 A:-681.4892428553736  B:-798.1892203082313  C:762.3555612327559  y_true:гипер.  y_pred:гипер.
 A:-397.6134432149383  B:268.43321320686164  C:688.6351364189385  y_true:гипер.  y_pred:гипер.
 A:-388.74956968003517  B:933.1103212711687  C:629.7890271614818  y_true:гипер.  y_pred:гипер.
 A:-491.15414518323684  B:-354.43675481816837  C:348.0887443173071  y_true:гипер.  y_pred:гипер.
 A:677.2204319848356  B:-391.6930078142289  C:-265.68270912498207  y_true:гипер.  y_pred:гипер.
 A:-821.8505914065304  B:742.7864551810663  C:-249.71595660635072  y_true:гипер.  y_pred:гипер.
 A:923.449685077602  B:617.7261341041481  C:760.6668335422448  y_true:эллипс  y_pred:эллипс
 A:565.4496830675007  B:-241.0821027339387  C:-206.85409881644733  y_true:гипер.  y_pred:гипер.
 A:-486.9546340775761  B:-94.69103573752102  C:267.76728777610793  y_true:гипер.  y_pred:гипер.
 A:133.5281861114579  B:-512.5985633072678  C:-629.0010786925549  y_true:гипер.  y_pred:гипер.
 A:-193.38132612387972  B:-144.20351696698552  C:-343.9181087627232  y_true:эллипс  y_pred:эллипс
